Entry	Gene names	Gene names  (synonym )	Gene names  (ordered locus )	Organism ID
STM3899	yifB STM3899 STMD1.95		STM3899	99287
STM3946	yifL STM3946 STMD1.100		STM3946	99287
STM3807	yidE STM3807		STM3807	99287
STM3451	tusD STM3451		STM3451	99287
STM4345	yjeM STM4345		STM4345	99287
STM0239	yaeQ STM0239		STM0239	99287
STM4174	zraR hydG STM4174 STMF1.27	hydG	STM4174	99287
STM2346	yfcD STM2346		STM2346	99287
STM2449	ypeA STM2449		STM2449	99287
STM1224	sifA STM1224		STM1224	99287
STM0537	cysS STM0537		STM0537	99287
STM1734	yciC STM1734		STM1734	99287
STM4386	ulaD STM4386		STM4386	99287
STM1581	yddE STM1581		STM1581	99287
STM3271	yhbQ STM3271		STM3271	99287
STM1461	ydgT cnu STM1461	cnu	STM1461	99287
STM1208	thiK STM1208		STM1208	99287
STM1726	trpB STM1726		STM1726	99287
STM0120	rsmH mraW STM0120	mraW	STM0120	99287
STM3661	xylA STM3661		STM3661	99287
STM2336	yfbV STM2336		STM2336	99287
STM0201	yadU STM0201		STM0201	99287
STM3928	wzyE STM3928 STMD1.62		STM3928	99287
STM3971	ubiJ yigP STM3971	yigP	STM3971	99287
STM0927	ycdD STM0927		STM0927	99287
STM3265	yraN STM3265		STM3265	99287
STM2335	yfbU STM2335		STM2335	99287
STM2415	gltX STM2415		STM2415	99287
STM0968	ycaD STM0968		STM0968	99287
STM3117	STM3117		STM3117	99287
STM0011	yaaI STM0011		STM0011	99287
STM3187	ygiB STM3187		STM3187	99287
STM0757	pnuC STM0757		STM0757	99287
STM2578	pdxJ STM2578		STM2578	99287
STM0085	kefF STM0085		STM0085	99287
STM3281	nlpI STM3281		STM3281	99287
STM0126	murD STM0126		STM0126	99287
STM1853	pphA prpA STM1853	prpA	STM1853	99287
STM2037	pduF STM2037		STM2037	99287
STM2057	pduW STM2057		STM2057	99287
STM0371	prpE STM0371		STM0371	99287
STM1088	pipB STM1088		STM1088	99287
STM0129	murC STM0129		STM0129	99287
